ID,Name_EN,Name_ZH,City,District,Address,Tags,Rank,Phone,Website,International,JCI,Airport_Info,Trust_Score
fuwai-hospital,Fu Wai Hospital,中国医学科学院阜外医院,Beijing,Xicheng,北京市西城区北礼士路167号,"cardiology, heart-surgery, general",#1 Cardiology in China,010-88398866,https://www.fuwaihospital.org,True,False,45-60min from Beijing Capital International Airport,0.94
anzhen-hospital,Anzhen Hospital,首都医科大学附属北京安贞医院,Beijing,Chaoyang,北京市朝阳区安贞路2号,"cardiology, heart-surgery",Top Cardiovascular Center,010-64412431,http://www.anzhen.org,True,False,40-55min from Beijing Capital International Airport,0.91
zhongshan-hospital-shanghai,Zhongshan Hospital (Shanghai),复旦大学附属中山医院,Shanghai,Xuhui,上海市徐汇区枫林路180号,"cardiology, oncology, general","Top 3 Cardiology, Top 5 Oncology",021-64041990,https://www.zs-hospital.sh.cn,True,False,55-75min from Shanghai Pudong International Airport,0.92
jishuitan-hospital,Jishuitan Hospital,北京积水潭医院,Beijing,Xicheng,北京市西城区新街口东街31号,"orthopedics, joint-replacement, spine-surgery",#1 Orthopedics in China,010-58516688,http://www.jst-hosp.com,True,False,40-50min from Beijing Capital International Airport,0.93
shanghai-sixth-hospital,Shanghai Sixth Hospital,上海交通大学附属第六人民医院,Shanghai,Xuhui,上海市徐汇区宜山路600号（徐汇院区）,"orthopedics, sports-medicine, joint-replacement",#2 Orthopedics,021-64369181,http://www.6thhospitalsh.com,True,False,50-60min from Shanghai Pudong International Airport,0.89
pku-third-hospital,Peking University Third Hospital,北京大学第三医院,Beijing,Haidian,北京市海淀区花园北路49号,"orthopedics, maternity, fertility, sports-medicine","#4 Obstetrics, #1 Fertility, Top Orthopedics",010-82266699,http://www.puh3.net.cn,True,False,45min from Beijing Capital International Airport,0.91
fudan-womens-hospital,Fudan University Women's Hospital (Red House),复旦大学附属妇产科医院（红房子）,Shanghai,Huangpu,黄浦区方斜路419号（黄浦院区）；杨浦区沈阳路128号（杨浦院区）,"maternity, obstetrics, prenatal-diagnosis, fertility",#2 Obstetrics in China,021-33189900,https://www.fdfck.com,True,False,60min from Shanghai Pudong International Airport,0.9
zhejiang-womens-hospital,Zhejiang University Women's Hospital,浙江大学医学院附属妇产科医院,Hangzhou,Shangcheng,湖滨院区：杭州市上城区学士路1号,"maternity, obstetrics, prenatal-diagnosis, fertility",Top Obstetrics,0571-87061501,https://www.womanhospital.cn,True,False,50min from Hangzhou Xiaoshan International Airport,0.88
cams-cancer-hospital,"Cancer Hospital, CAMS",中国医学科学院肿瘤医院,Beijing,Chaoyang,北京市朝阳区潘家园南里17号,"oncology, cancer-surgery, radiotherapy",#1 Oncology in China,010-67781331,http://www.cicams.ac.cn,True,False,40-50min from Beijing Capital International Airport,0.95
tiantan-hospital,Tiantan Hospital,首都医科大学附属北京天坛医院,Beijing,Fengtai,北京市丰台区南四环西路119号,"neurosurgery, neurology, general",#1 Neurosurgery,010-59976611,http://www.bjtth.org,True,False,50-70min from Beijing Capital International Airport,0.94
huashan-hospital,Huashan Hospital,复旦大学附属华山医院,Shanghai,Jing'an,上海市静安区乌鲁木齐中路12号（总院）,"neurosurgery, neurology",#2 Neurosurgery,021-52889999,https://www.hshs.com.cn,True,False,65-85min from Shanghai Pudong International Airport,0.93
beijing-childrens-hospital,Beijing Children's Hospital,国家儿童医学中心（北京）,Beijing,Xicheng,北京市西城区南礼士路56号,"pediatrics, childrens-health",#1 Pediatrics,010-59612345,http://www.bch.com.cn,True,False,45-60min from Beijing Capital International Airport,0.96
pumch,Peking Union Medical College Hospital,北京协和医院,Beijing,Dongcheng,东单院区：北京市东城区帅府园一号；西单院区：北京市西城区大木仓胡同41号,"general, all-specialties",#1 Comprehensive Hospital,东单院区:010-69151188 / 西单院区:010-69158100,https://www.pumch.cn,True,False,45-60min from Beijing Capital International Airport,0.97
china-japan-friendship-hospital,China-Japan Friendship Hospital,中日友好医院,Beijing,Chaoyang,北京市朝阳区樱花园东街2号,"general, international",Top International Department,本部:010-84205566 / 国际部:010-84205121,https://www.zryhyy.com.cn,True,False,40-55min from Beijing Capital International Airport,0.9
ruijin-hospital,Ruijin Hospital,上海交通大学医学院附属瑞金医院,Shanghai,Huangpu,上海市黄浦区瑞金二路197号,"general, vip-services",Top VIP Center,021-64370045,https://www.rjh.com.cn,True,False,50-70min from Shanghai Pudong International Airport,0.89
renji-hospital,Renji Hospital,上海交通大学医学院附属仁济医院,Shanghai,Pudong,西院区：上海市黄浦区山东中路145号；东院区：上海市浦东新区浦建路160号,"general, gastroenterology",Top General Hospital,021-58752345,https://www.renji.com,True,False,30-45min from Shanghai Pudong International Airport,0.88
huadong-hospital,Huadong Hospital,复旦大学附属华东医院,Shanghai,Jing'an,上海市静安区延安西路221号（总院）,"general, geriatrics",Top Geriatrics,021-62483180,http://www.huadonghospital.com,True,False,60-80min from Shanghai Pudong International Airport,0.85
shanghai-ninth-hospital,Shanghai Ninth Hospital,上海交通大学医学院附属第九人民医院,Shanghai,Huangpu,南部院区：上海市黄浦区制造局路639号；北部院区：上海市宝山区漠河路280号,"plastic-surgery, general",Top Plastic Surgery,021-23271699,https://www.ninthhospital.com.cn,True,False,50-70min from Shanghai Pudong International Airport,0.87
guangdong-provincial-peoples-hospital,Guangdong Provincial People's Hospital,广东省人民医院,Guangzhou,Yuexiu,广州市越秀区中山二路106号,"cardiology, general",Top Cardiology South China,020-83827812,http://www.e5413.com,True,False,45-60min from Guangzhou Baiyun International Airport,0.86
nanfang-hospital,Nanfang Hospital,南方医科大学南方医院,Guangzhou,Baiyun,广州市白云区广州大道北1838号,"general, kidney-disease",Top General Hospital,020-61641888,http://www.nfyy.com,True,False,40-55min from Guangzhou Baiyun International Airport,0.85
zhongshan-sixth-hospital,Zhongshan Sixth Hospital,中山大学附属第六医院,Guangzhou,Tianhe,广州市天河区员村二横路26号（院本部）,"gastroenterology, general",Top Gastroenterology,020-38254140,http://www.zs6h.com,True,False,45-60min from Guangzhou Baiyun International Airport,0.84
zhujiang-hospital,Zhujiang Hospital,南方医科大学珠江医院,Guangzhou,Haizhu,广州市海珠区工业大道中253号,"neurosurgery, general",Top Neurosurgery South China,020-61643888,http://www.zjyy.com.cn,True,False,45-60min from Guangzhou Baiyun International Airport,0.83
first-affiliated-guangzhou-tcm,First Affiliated Hospital of Guangzhou University of Chinese Medicine,广州中医药大学第一附属医院,Guangzhou,Baiyun,广州市白云区机场路16号大院,"tcm, general",Top Traditional Chinese Medicine,020-36591912,http://www.gzhtcm.com,True,False,35-50min from Guangzhou Baiyun International Airport,0.85
first-affiliated-sun-yat-sen,First Affiliated Hospital of Sun Yat-sen University,中山大学附属第一医院,Guangzhou,Yuexiu,广州市越秀区中山二路58号（院本部）,"general, all-specialties",Top Comprehensive Hospital,020-87755766,https://www.gzsums.net,True,False,50-70min from Guangzhou Baiyun International Airport,0.9
first-affiliated-guangzhou-medical,First Affiliated Hospital of Guangzhou Medical University,广州医科大学附属第一医院,Guangzhou,Liwan,沿江院区：广州市越秀区沿江西路151号；大坦沙院区：广州市荔湾区桥中中路28号,"respiratory, general",Top Respiratory Medicine,020-83062114,http://www.fahyy.com,True,False,40-55min from Guangzhou Baiyun International Airport,0.86
pku-peoples-hospital,Peking University People's Hospital,北京大学人民医院,Beijing,Xicheng,西直门院区：北京市西城区西直门南大街11号；白塔寺院区：北京市西城区阜成门内大街133号,"general, hematology",Top General Hospital,010-88326666,http://www.pkuph.com.cn,True,False,50-70min from Beijing Capital International Airport,0.88
beijing-chaoyang-hospital,Beijing Chaoyang Hospital,首都医科大学附属北京朝阳医院,Beijing,Chaoyang,北京市朝阳区工人体育场南路8号（本部）,"respiratory, general",Top Respiratory Medicine,010-85231777,http://www.bjcyh.com.cn,True,False,40-55min from Beijing Capital International Airport,0.85
301-hospital,301 Hospital (PLA General Hospital),中国人民解放军总医院,Beijing,Haidian,北京市海淀区复兴路28号,"general, military",Military Hospital,010-66887329,http://www.301hospital.com.cn,True,False,55-75min from Beijing Capital International Airport,0.88
shenzhen-peoples-hospital,Shenzhen People's Hospital,深圳市人民医院,Shenzhen,Luohu,深圳市罗湖区东门北路1017号,"general, all-specialties",Top Hospital in Shenzhen,0755-25533018,http://www.sz-hospital.com,True,False,50-70min from Shenzhen Bao'an International Airport,0.84
pku-shenzhen-hospital,Peking University Shenzhen Hospital,北京大学深圳医院,Shenzhen,Futian,深圳市福田区莲花路1120号,"general, all-specialties",Top General Hospital,0755-83923333,http://www.pkuszh.com,True,False,45-60min from Shenzhen Bao'an International Airport,0.87
shenzhen-second-peoples-hospital,Shenzhen Second People's Hospital,深圳市第二人民医院,Shenzhen,Futian,深圳市福田区笋岗西路3002号,"orthopedics, general",Top Orthopedics Shenzhen,0755-83366388,http://www.szey.com,True,False,40-55min from Shenzhen Bao'an International Airport,0.82
shenzhen-tcm-hospital,Shenzhen Traditional Chinese Medicine Hospital,深圳市中医院,Shenzhen,Futian,福田院区：深圳市福田区福华路1号；光明院区：深圳市光明区长圳路东218号,"tcm, general",Top TCM Shenzhen,0755-88359666,http://www.sztcm.com,True,False,45-60min from Shenzhen Bao'an International Airport,0.81
shenzhen-maternity-child-health,Shenzhen Maternity & Child Healthcare Hospital,深圳市妇幼保健院,Shenzhen,Futian,红荔院区：深圳市福田区红荔路2004号；福强院区：深圳市福田区福强路3012号,"maternity, pediatrics",Top Maternity Shenzhen,0755-82889999,http://www.szmama.net,True,False,40-55min from Shenzhen Bao'an International Airport,0.83
west-china-hospital,West China Hospital,四川大学华西医院,Chengdu,Wuhou,成都市武侯区国学巷37号（主院区）,"general, all-specialties",Top Hospital West China,028-85422114,http://www.wchscu.cn,True,False,45-60min from Chengdu Tianfu International Airport,0.92
fuda-cancer-hospital,Fuda Cancer Hospital,广州复大肿瘤医院,Guangzhou,Tianhe,北院：广州市天河区棠德西路2号；南院：广州市海珠区聚德中路91号,"oncology, cryosurgery, nanoknife",Top Private Cancer Hospital,020-38993955,http://www.fudahospital.com,True,True,60-90min from Guangzhou Baiyun International Airport,0.83
sun-yat-sen-cancer-hospital,Sun Yat-sen University Cancer Center,中山大学肿瘤防治中心,Guangzhou,Yuexiu,广州市越秀区东风东路651号,"oncology, cancer-surgery, radiotherapy",Top 3 Cancer Hospital in China,020-87343088,http://www.sysucc.com.cn,True,False,45-60min from Guangzhou Baiyun International Airport,0.91
beijing-tongren-hospital,Beijing Tongren Hospital,首都医科大学附属北京同仁医院,Beijing,Dongcheng,北京市东城区东交民巷1号（西区）,"ophthalmology, ent, cardiology",#1 Ophthalmology in China,010-58266699,http://www.trhosp.com.cn,True,False,40-55min from Beijing Capital International Airport,0.88
xijing-hospital,Xijing Hospital,空军军医大学西京医院,Xi'an,Beilin,西安市新城区长乐西路127号,"neurosurgery, cardiology, general",Top 5 Neurosurgery in China,029-84775507,http://www.fmmu.edu.cn,True,False,40-55min from Xi'an Xianyang International Airport,0.86
qilu-hospital,Qilu Hospital (Shandong University),山东大学齐鲁医院,Jinan,Lixia,济南市历下区文化西路107号,"general, oncology, neurosurgery",Top Hospital in Shandong Province,0531-82166666,http://www.qiluhospital.com,True,False,40-60min from Jinan Yaoqiang International Airport,0.84
shanghai-changhai-hospital,Shanghai Changhai Hospital,海军军医大学第一附属医院（上海长海医院）,Shanghai,Yangpu,上海市杨浦区长海路168号,"general, urology, kidney-disease",Top 10 General Hospital in China,021-31161616,http://www.chhospital.com.cn,True,False,45-65min from Shanghai Pudong International Airport,0.87
sir-run-run-shaw-hospital,Sir Run Run Shaw Hospital (Zhejiang University),浙江大学医学院附属邵逸夫医院,Hangzhou,Shangcheng,庆春院区：杭州市上城区庆春东路3号,"general, fertility, cardiology",Top Hospital in Zhejiang Province,0571-86090073,http://www.srrsh.com,True,True,40-55min from Hangzhou Xiaoshan International Airport,0.86
nanjing-drum-tower-hospital,Nanjing Drum Tower Hospital,南京鼓楼医院,Nanjing,Gulou,南京市鼓楼区中山路321号,"general, cardiology, oncology",Top Hospital in Jiangsu Province,025-83106666,http://www.njglyy.com,True,False,40-60min from Nanjing Lukou International Airport,0.83
tianjin-eye-hospital,Tianjin Eye Hospital,天津市眼科医院,Tianjin,Heping,天津市和平区甘肃路4号,"ophthalmology, cataract, lasik",Top Ophthalmology Hospital in North China,022-27313334,http://www.ooth.com.cn,True,False,30-45min from Tianjin Binhai International Airport,0.8
tianjin-medical-university-cancer,Tianjin Medical University Cancer Institute & Hospital,天津医科大学肿瘤医院,Tianjin,Heping,天津市河西区体院北环湖西路1号,"oncology, radiotherapy, cancer-surgery",Top Cancer Hospital in North China,022-23340123,http://www.tjmuch.com,True,False,35-50min from Tianjin Binhai International Airport,0.82
aier-eye-hospital,Aier Eye Hospital Group,爱尔眼科医院集团,Beijing,Chaoyang,长沙市天心区芙蓉南路一段188号,"ophthalmology, lasik, cataract",Largest Private Eye Hospital Chain in China,0731-85179288,http://www.aierchina.com,True,False,40-55min from Beijing Capital International Airport,0.8
shanghai-dental-hospital,Shanghai Jiao Tong University Dental Hospital,上海交通大学口腔医学院,Shanghai,Huangpu,上海市黄浦区北京东路356号,"dental, oral-surgery, cosmetic-dental",Top Dental Hospital in Shanghai,021-63509092,http://www.9hospital.com.cn,True,False,45-60min from Shanghai Pudong International Airport,0.81
shanghai-shuguang-hospital,Shuguang Hospital (Shanghai University of Traditional Chinese Medicine),上海中医药大学附属曙光医院,Shanghai,Huangpu,东院：上海市浦东新区张衡路528号；西院：上海市黄浦区普安路185号,"tcm, general, fertility",Top TCM Hospital in Shanghai,021-53821650,http://www.sdjyy.com,True,False,45-65min from Shanghai Pudong International Airport,0.8
shanghai-longhua-hospital,Longhua Hospital (Shanghai University of Traditional Chinese Medicine),上海中医药大学附属龙华医院,Shanghai,Xuhui,上海市徐汇区宛平南路725号（总院）,"tcm, oncology, general",Top TCM Hospital in China,021-64385700,http://www.longhua-hospital.com,True,True,50-70min from Shanghai Pudong International Airport,0.82
dongzhimen-hospital,Dongzhimen Hospital (Beijing University of Chinese Medicine),北京中医药大学东直门医院,Beijing,Dongzhimen,北京市东城区海运仓5号（东城院区）,"tcm, neurology, general",Top TCM Hospital in China,010-84018292,http://www.dzmhospital.com,True,False,35-50min from Beijing Capital International Airport,0.83
tangdu-hospital,Tangdu Hospital (Fourth Military Medical University),空军军医大学唐都医院,Xi'an,Baqiao,陕西省西安市灞桥区新寺路1号,"thoracic-surgery, neurosurgery, orthopedics, infectious-disease, general","#1 Thoracic Surgery (#6 nationally), Top Military Hospital",029-84777502,http://tdwww.fmmu.edu.cn,True,False,50-65min from Xi'an Xianyang International Airport,0.86
guangzhou-dental-hospital,Guangzhou Dental Hospital,广州医科大学附属口腔医院,Guangzhou,Yuexiu,广州市越秀区东风西路195号,"dental, oral-surgery, cosmetic-dental",Top Dental Hospital in South China,020-81299942,http://www.gyqty.com,True,False,45-60min from Guangzhou Baiyun International Airport,0.79
